timestamp,dataset,row_identifier,column,original_value,new_value,action,reason
2026-08-13 08:39:32,tenaga kesehatan,Gubeng,jumlah_tenaga_keterapian_fisik,93,93.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Wonokromo,jumlah_tenaga_keterapian_fisik,106,106.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Dukuh Pakis,jumlah_tenaga_keterapian_fisik,9,9.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Wiyung,jumlah_tenaga_keterapian_fisik,25,25.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Lakarsantri,jumlah_tenaga_keterapian_fisik,–,NaN,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Sambikerep,jumlah_tenaga_keterapian_fisik,21,21.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Tandes,jumlah_tenaga_keterapian_fisik,3,3.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Suko Manunggal,jumlah_tenaga_keterapian_fisik,37,37.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Sawahan,jumlah_tenaga_keterapian_fisik,14,14.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Tegalsari,jumlah_tenaga_keterapian_fisik,14,14.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Genteng,jumlah_tenaga_keterapian_fisik,12,12.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Tambaksari,jumlah_tenaga_keterapian_fisik,16,16.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Kenjeran,jumlah_tenaga_keterapian_fisik,–,NaN,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Bulak,jumlah_tenaga_keterapian_fisik,7,7.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Simokerto,jumlah_tenaga_keterapian_fisik,28,28.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Semampir,jumlah_tenaga_keterapian_fisik,5,5.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Pabean Cantian,jumlah_tenaga_keterapian_fisik,33,33.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Bubutan,jumlah_tenaga_keterapian_fisik,1,1.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Krembangan,jumlah_tenaga_keterapian_fisik,5,5.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Asemrowo,jumlah_tenaga_keterapian_fisik,–,NaN,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Benowo,jumlah_tenaga_keterapian_fisik,5,5.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:32,tenaga kesehatan,Pakal,jumlah_tenaga_keterapian_fisik,8,8.0,type coercion,coercing to numeric and handling dash values
2026-08-13 08:39:33,data penyakit,Row 0,januari/februari,224,224,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 1,januari/februari,36,36,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 2,januari/februari,6,6,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 3,januari/februari,344,344,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 4,januari/februari,23,23,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 5,januari/februari,72,72,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 6,januari/februari,146,146,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 7,januari/februari,134,134,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 8,januari/februari,384,384,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 9,januari/februari,896,896,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 10,januari/februari,504,504,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 11,januari/februari,168,168,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 12,januari/februari,283,283,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 13,januari/februari,61,61,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 14,januari/februari,14,14,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 15,januari/februari,4,4,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 16,januari/februari,4,4,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 17,januari/februari,164,164,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 18,januari/februari,100,100,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 19,januari/februari,8,8,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 20,januari/februari,280,280,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 21,januari/februari,102,102,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 22,januari/februari,4,4,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 23,januari/februari,0,0,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 24,januari/februari,53,53,suspected_shifted_february,anomaly fix
2026-08-13 08:39:33,data penyakit,Row 25,januari/februari,5,5,suspected_shifted_february,anomaly fix
