kecamatan,demand_score,workforce_gap,facility_gap,disease_need_score,accessibility_gap,workforce_demand_mismatch,healthcare_gap_score,priority_category,priority_rank,data_completeness_score,data_quality_status,primary_root_cause,secondary_root_cause,root_cause_type,root_cause_confidence,root_cause_margin,workforce_issue,facility_issue,demand_issue,disease_issue,explanation,centroid_lon,centroid_lat
Simokerto,0.3886539111170619,0.5907346538604668,0.5583281490165782,0.4330704646156655,,,49.20962922197074,Tinggi,23,0.75,COMPLETE,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,NO_DOMINANT_ROOT_CAUSE,MEDIUM,0.0324065048438885,Low Nakes Ratio,Low Faskes Ratio,High Service Pressure,Penyakit pada sistem pernafasan (15444 cases),"Kecamatan Simokerto memiliki Healthcare Gap Score sebesar 49.2 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.59), 2. Facility Capacity Gap (0.56), 3. Disease Burden Need (0.43). Indikator paling menonjol dalam model adalah Low Nakes Ratio, dengan sub-skor 0.59. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",112.71999999999997,-7.250833333333332
Suko Manunggal,0.3948261301754178,0.8206792058814871,0.743448384353803,0.4109389249100609,,,59.55290626698443,Tinggi,13,0.75,COMPLETE,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,SINGLE_FACTOR,MEDIUM,0.0772308215276841,Low Midwife Ratio,Low Bed Capacity,High Service Pressure,Penyakit pada sistem pernafasan (14969 cases),"Kecamatan Suko Manunggal memiliki Healthcare Gap Score sebesar 59.6 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.82), 2. Facility Capacity Gap (0.74), 3. Disease Burden Need (0.41). Indikator paling menonjol dalam model adalah Low Midwife Ratio, dengan sub-skor 0.82. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",112.75999999999999,-7.250833333333332
Sukolilo,0.4344073595454221,0.498847096240618,0.5616689635175418,0.4999937985379787,,,49.23088891469161,Tinggi,22,0.75,COMPLETE,FACILITY_SHORTAGE,DISEASE_BURDEN,NO_DOMINANT_ROOT_CAUSE,MEDIUM,0.0616751649795631,Low Nurse Ratio,Low Bed Capacity,High Disease Burden,Penyakit pada sistem pernafasan (17373 cases),"Kecamatan Sukolilo memiliki Healthcare Gap Score sebesar 49.2 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Facility Capacity Gap (0.56), 2. Disease Burden Need (0.50), 3. Workforce Shortage Gap (0.50). Indikator paling menonjol dalam model adalah Low Bed Capacity, dengan sub-skor 0.56. Temuan ini menunjukkan adanya indikasi kurangnya ketersediaan fasilitas pelayanan kesehatan tingkat pertama (Puskesmas/Pustu) atau kapasitas tempat tidur rawat inap.",112.80000000000001,-7.250833333333332
Tambaksari,0.3206309445288489,0.9144242951942264,0.8293517964248839,0.0,,,53.63869312018994,Tinggi,16,0.75,COMPLETE,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,MULTI_FACTOR,MEDIUM,0.0850724987693425,Low Midwife Ratio,Low Puskesmas Ratio,High Population Demand,Penyakit pada sistem pernafasan (14845 cases),"Kecamatan Tambaksari memiliki Healthcare Gap Score sebesar 53.6 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.91), 2. Facility Capacity Gap (0.83), 3. High Demand Score (0.32). Indikator paling menonjol dalam model adalah Low Midwife Ratio, dengan sub-skor 0.91. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",112.59999999999998,-7.2225
Tandes,0.5672533560599609,0.9239895873950564,0.7249453069755956,0.6152163725782765,,,71.54052189472796,Sangat Tinggi,3,0.75,COMPLETE,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,SINGLE_FACTOR,HIGH,0.1990442804194608,Low Nurse Ratio,Low Bed Capacity,High Service Pressure,Penyakit pada sistem pernafasan (14979 cases),"Kecamatan Tandes memiliki Healthcare Gap Score sebesar 71.5 dan termasuk kategori Sangat Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.92), 2. Facility Capacity Gap (0.72), 3. Disease Burden Need (0.62). Indikator paling menonjol dalam model adalah Low Nurse Ratio, dengan sub-skor 0.92. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",112.64,-7.222499999999999
Tegalsari,0.3576770430288757,0.7916221662310087,0.6451811741426409,0.3145813663649283,,,53.67422708794791,Tinggi,15,0.75,COMPLETE,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,NO_DOMINANT_ROOT_CAUSE,MEDIUM,0.1464409920883678,Low Midwife Ratio,Low Bed Capacity,High Service Pressure,Penyakit pada sistem pernafasan (12548 cases),"Kecamatan Tegalsari memiliki Healthcare Gap Score sebesar 53.7 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.79), 2. Facility Capacity Gap (0.65), 3. High Demand Score (0.36). Indikator paling menonjol dalam model adalah Low Midwife Ratio, dengan sub-skor 0.79. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",112.67999999999998,-7.222499999999999
Tenggilis Mejoyo,0.2202218128184301,0.6143170957596045,0.726898474520542,0.269528283709164,,,44.96470242193516,Tinggi,26,0.75,COMPLETE,FACILITY_SHORTAGE,WORKFORCE_SHORTAGE,NO_DOMINANT_ROOT_CAUSE,MEDIUM,0.1125813787609375,Low Nurse Ratio,Low Bed Capacity,High Service Pressure,Penyakit pada sistem pernafasan (7490 cases),"Kecamatan Tenggilis Mejoyo memiliki Healthcare Gap Score sebesar 45.0 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Facility Capacity Gap (0.73), 2. Workforce Shortage Gap (0.61), 3. Disease Burden Need (0.27). Indikator paling menonjol dalam model adalah Low Bed Capacity, dengan sub-skor 0.73. Temuan ini menunjukkan adanya indikasi kurangnya ketersediaan fasilitas pelayanan kesehatan tingkat pertama (Puskesmas/Pustu) atau kapasitas tempat tidur rawat inap.",112.71999999999997,-7.222499999999999
Wiyung,0.4876610966349888,0.4864463915844286,0.596872218902089,0.5156932267910367,,,51.47453356044503,Tinggi,18,0.75,COMPLETE,FACILITY_SHORTAGE,DISEASE_BURDEN,NO_DOMINANT_ROOT_CAUSE,MEDIUM,0.0811789921110522,Low Nakes Ratio,Low Bed Capacity,High Service Pressure,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan (15180 cases),"Kecamatan Wiyung memiliki Healthcare Gap Score sebesar 51.5 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Facility Capacity Gap (0.60), 2. Disease Burden Need (0.52), 3. High Demand Score (0.49). Indikator paling menonjol dalam model adalah Low Bed Capacity, dengan sub-skor 0.60. Temuan ini menunjukkan adanya indikasi kurangnya ketersediaan fasilitas pelayanan kesehatan tingkat pertama (Puskesmas/Pustu) atau kapasitas tempat tidur rawat inap.",112.75999999999999,-7.2225
Wonocolo,0.6703267673588551,0.680698068342088,0.4822360296005303,0.703490971254408,,,64.24528508812706,Sangat Tinggi,9,0.75,COMPLETE,DISEASE_BURDEN,WORKFORCE_SHORTAGE,NO_DOMINANT_ROOT_CAUSE,MEDIUM,0.0227929029123199,Low Nurse Ratio,Low Bed Capacity,High Service Pressure,Penyakit pada sistem pernafasan (18158 cases),"Kecamatan Wonocolo memiliki Healthcare Gap Score sebesar 64.2 dan termasuk kategori Sangat Tinggi. Faktor kontributor utama adalah: 1. Disease Burden Need (0.70), 2. Workforce Shortage Gap (0.68), 3. High Demand Score (0.67). Indikator paling menonjol dalam model adalah High caseload of Penyakit pada sistem pernafasan, dengan sub-skor 0.70. Temuan ini menunjukkan adanya indikasi besarnya prevalensi kasus penyakit masyarakat (terutama ISPA) yang memerlukan intervensi preventif dan promotif.",112.80000000000001,-7.222499999999999
Wonokromo,0.5599074669253065,0.1339132093120406,0.6325290370808315,0.3915121082304355,,,41.29544319334576,Tinggi,28,0.75,COMPLETE,FACILITY_SHORTAGE,HIGH_DEMAND,NO_DOMINANT_ROOT_CAUSE,MEDIUM,0.072621570155525,Low Nakes Ratio,Low Puskesmas Ratio,High Service Pressure,Penyakit pada sistem pencernaan (19746 cases),"Kecamatan Wonokromo memiliki Healthcare Gap Score sebesar 41.3 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Facility Capacity Gap (0.63), 2. High Demand Score (0.56), 3. Disease Burden Need (0.39). Indikator paling menonjol dalam model adalah Low Puskesmas Ratio, dengan sub-skor 0.63. Temuan ini menunjukkan adanya indikasi kurangnya ketersediaan fasilitas pelayanan kesehatan tingkat pertama (Puskesmas/Pustu) atau kapasitas tempat tidur rawat inap.",112.59999999999998,-7.194166666666666
