kecamatan,healthcare_gap_score,priority_category,priority_rank,demand_score,workforce_gap,facility_gap,disease_need_score,accessibility_gap,primary_root_cause,secondary_root_cause,tertiary_root_cause,root_cause_type,root_cause_confidence,root_cause_margin,workforce_issue,facility_issue,demand_issue,disease_issue,accessibility_issue,explanation,data_quality_status
Bubutan,61.32055082605534,Sangat Tinggi,11,0.2903876565510785,0.9519654060398528,0.8153490786269837,0.3871488687893865,0.0,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,DISEASE_BURDEN,MULTI_FACTOR,HIGH,0.1366163274128691,Low Nurse Ratio,Low Bed Capacity,High Disease Burden,Penyakit pada sistem pernafasan (14858 cases),NOT_AVAILABLE,"Kecamatan Bubutan memiliki Healthcare Gap Score sebesar 61.3 dan termasuk kategori Sangat Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.95), 2. Facility Capacity Gap (0.82), 3. Disease Burden Need (0.39). Indikator paling menonjol dalam model adalah Low Nurse Ratio, dengan sub-skor 0.95. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",COMPLETE
Tambaksari,59.32128057634174,Tinggi,12,0.5257886806610611,0.8857131470727342,0.848811287216394,0.0,0.0,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,HIGH_DEMAND,MULTI_FACTOR,MEDIUM,0.0369018598563402,Low Midwife Ratio,Low Puskesmas Ratio,High Population Demand,Penyakit pada sistem pernafasan (14845 cases),NOT_AVAILABLE,"Kecamatan Tambaksari memiliki Healthcare Gap Score sebesar 59.3 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.89), 2. Facility Capacity Gap (0.85), 3. High Demand Score (0.53). Indikator paling menonjol dalam model adalah Low Midwife Ratio, dengan sub-skor 0.89. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",COMPLETE
Suko Manunggal,59.13321362685494,Tinggi,13,0.3806423562710125,0.8043035741575726,0.7683028607898084,0.4109389249100609,0.0,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,DISEASE_BURDEN,SINGLE_FACTOR,MEDIUM,0.036000713367764225,Low Midwife Ratio,Low Bed Capacity,High Service Pressure,Penyakit pada sistem pernafasan (14969 cases),NOT_AVAILABLE,"Kecamatan Suko Manunggal memiliki Healthcare Gap Score sebesar 59.1 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.80), 2. Facility Capacity Gap (0.77), 3. Disease Burden Need (0.41). Indikator paling menonjol dalam model adalah Low Midwife Ratio, dengan sub-skor 0.80. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",COMPLETE
Genteng,56.562912542366405,Tinggi,14,0.5167525040029112,0.38245824131146655,0.4793295091467543,1.0,0.0,DISEASE_BURDEN,HIGH_DEMAND,FACILITY_SHORTAGE,SINGLE_FACTOR,HIGH,0.4832474959970888,Low Nakes Ratio,Low Bed Capacity,High Disease Burden,Penyakit pada sistem pernafasan (16565 cases),NOT_AVAILABLE,"Kecamatan Genteng memiliki Healthcare Gap Score sebesar 56.6 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Disease Burden Need (1.00), 2. High Demand Score (0.52), 3. Facility Capacity Gap (0.48). Indikator paling menonjol dalam model adalah High caseload of Penyakit pada sistem pernafasan, dengan sub-skor 1.00. Temuan ini menunjukkan adanya indikasi besarnya prevalensi kasus penyakit masyarakat (terutama ISPA) yang memerlukan intervensi preventif dan promotif.",COMPLETE
Tegalsari,53.320597872242224,Tinggi,15,0.3657685752420412,0.755067157164163,0.6701949286378768,0.31458136636492834,0.0,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,HIGH_DEMAND,NO_DOMINANT_ROOT_CAUSE,MEDIUM,0.08487222852628618,Low Midwife Ratio,Low Bed Capacity,High Service Pressure,Penyakit pada sistem pernafasan (12548 cases),NOT_AVAILABLE,"Kecamatan Tegalsari memiliki Healthcare Gap Score sebesar 53.3 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.76), 2. Facility Capacity Gap (0.67), 3. High Demand Score (0.37). Indikator paling menonjol dalam model adalah Low Midwife Ratio, dengan sub-skor 0.76. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",COMPLETE
Gunung Anyar,52.05966638397834,Tinggi,16,0.05049126637554585,0.9661139601683775,0.778139749233975,0.2999357301490571,0.0,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,DISEASE_BURDEN,SINGLE_FACTOR,HIGH,0.18797421093440247,Low Nurse Ratio,Low Bed Capacity,High Disease Burden,Penyakit pada sistem pernafasan (7543 cases),NOT_AVAILABLE,"Kecamatan Gunung Anyar memiliki Healthcare Gap Score sebesar 52.1 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.97), 2. Facility Capacity Gap (0.78), 3. Disease Burden Need (0.30). Indikator paling menonjol dalam model adalah Low Nurse Ratio, dengan sub-skor 0.97. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",COMPLETE
Jambangan,52.03932506895976,Tinggi,17,0.23824528209173668,0.8954096455785449,0.7859050165510447,0.11557884539152101,0.0,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,HIGH_DEMAND,SINGLE_FACTOR,HIGH,0.10950462902750013,Low Nurse Ratio,Low Bed Capacity,High Service Pressure,Penyakit pada sistem pencernaan (5315 cases),NOT_AVAILABLE,"Kecamatan Jambangan memiliki Healthcare Gap Score sebesar 52.0 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.90), 2. Facility Capacity Gap (0.79), 3. High Demand Score (0.24). Indikator paling menonjol dalam model adalah Low Nurse Ratio, dengan sub-skor 0.90. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",COMPLETE
Bulak,51.731016218857576,Tinggi,18,0.06438286789961174,0.9404652950708663,0.8095217904222161,0.26975677606494536,0.0,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,DISEASE_BURDEN,MULTI_FACTOR,HIGH,0.13094350464865023,Low Nurse Ratio,Low Bed Capacity,High Disease Burden,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan (5902 cases),NOT_AVAILABLE,"Kecamatan Bulak memiliki Healthcare Gap Score sebesar 51.7 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.94), 2. Facility Capacity Gap (0.81), 3. Disease Burden Need (0.27). Indikator paling menonjol dalam model adalah Low Nurse Ratio, dengan sub-skor 0.94. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",COMPLETE
Wiyung,50.19301382111841,Tinggi,19,0.43850309196980464,0.4807194666780373,0.615123626293121,0.5156932267910367,0.0,FACILITY_SHORTAGE,DISEASE_BURDEN,WORKFORCE_SHORTAGE,NO_DOMINANT_ROOT_CAUSE,MEDIUM,0.09943039950208432,Low Nakes Ratio,Low Bed Capacity,High Service Pressure,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan (15180 cases),NOT_AVAILABLE,"Kecamatan Wiyung memiliki Healthcare Gap Score sebesar 50.2 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Facility Capacity Gap (0.62), 2. Disease Burden Need (0.52), 3. Workforce Shortage Gap (0.48). Indikator paling menonjol dalam model adalah Low Bed Capacity, dengan sub-skor 0.62. Temuan ini menunjukkan adanya indikasi kurangnya ketersediaan fasilitas pelayanan kesehatan tingkat pertama (Puskesmas/Pustu) atau kapasitas tempat tidur rawat inap.",COMPLETE
Benowo,50.13708055437507,Tinggi,20,0.13137288975451783,0.7519593187003802,0.8139422246465768,0.3679134903898293,0.0,FACILITY_SHORTAGE,WORKFORCE_SHORTAGE,DISEASE_BURDEN,SINGLE_FACTOR,MEDIUM,0.0619829059461966,Low Nakes Ratio,Low Puskesmas Ratio,High Disease Burden,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan (15690 cases),NOT_AVAILABLE,"Kecamatan Benowo memiliki Healthcare Gap Score sebesar 50.1 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Facility Capacity Gap (0.81), 2. Workforce Shortage Gap (0.75), 3. Disease Burden Need (0.37). Indikator paling menonjol dalam model adalah Low Puskesmas Ratio, dengan sub-skor 0.81. Temuan ini menunjukkan adanya indikasi kurangnya ketersediaan fasilitas pelayanan kesehatan tingkat pertama (Puskesmas/Pustu) atau kapasitas tempat tidur rawat inap.",COMPLETE
