kecamatan,healthcare_gap_score,priority_category,priority_rank,demand_score,workforce_gap,facility_gap,disease_need_score,accessibility_gap,primary_root_cause,secondary_root_cause,tertiary_root_cause,root_cause_type,root_cause_confidence,root_cause_margin,workforce_issue,facility_issue,demand_issue,disease_issue,accessibility_issue,explanation,data_quality_status,centroid_lon,centroid_lat
Lakarsantri,67.79072943736185,Sangat Tinggi,6,0.6259753860107978,0.9577504036713155,0.2941868900238589,0.719760897321064,0.0,WORKFORCE_SHORTAGE,DISEASE_BURDEN,HIGH_DEMAND,SINGLE_FACTOR,HIGH,0.2379895063502515,Low Nurse Ratio,Low Bed Capacity,High Service Pressure,Penyakit pada sistem pernafasan (14667 cases),NOT_AVAILABLE,"Kecamatan Lakarsantri memiliki Healthcare Gap Score sebesar 67.8 dan termasuk kategori Sangat Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.96), 2. Disease Burden Need (0.72), 3. High Demand Score (0.63). Indikator paling menonjol dalam model adalah Low Nurse Ratio, dengan sub-skor 0.96. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",COMPLETE,112.65566944893935,-7.313210907677096
Mulyorejo,32.11770005186354,Sedang,31,0.25255558160722347,0.3271060440098267,0.38511893097431027,0.3512736331932913,0.0,FACILITY_SHORTAGE,DISEASE_BURDEN,WORKFORCE_SHORTAGE,NO_DOMINANT_ROOT_CAUSE,MEDIUM,0.03384529778101897,Low Nakes Ratio,Low Bed Capacity,High Disease Burden,Penyakit pada sistem pernafasan (11632 cases),NOT_AVAILABLE,"Kecamatan Mulyorejo memiliki Healthcare Gap Score sebesar 32.1 dan termasuk kategori Sedang. Faktor kontributor utama adalah: 1. Facility Capacity Gap (0.39), 2. Disease Burden Need (0.35), 3. Workforce Shortage Gap (0.33). Indikator paling menonjol dalam model adalah Low Bed Capacity, dengan sub-skor 0.39. Temuan ini menunjukkan adanya indikasi kurangnya ketersediaan fasilitas pelayanan kesehatan tingkat pertama (Puskesmas/Pustu) atau kapasitas tempat tidur rawat inap.",COMPLETE,112.79712256996083,-7.2674260787526315
Pabean Cantian,38.49117741831966,Sedang,29,0.232052398926224,0.4743693961989962,0.7050227054341729,0.15990347279397957,0.0,FACILITY_SHORTAGE,WORKFORCE_SHORTAGE,HIGH_DEMAND,NO_DOMINANT_ROOT_CAUSE,MEDIUM,0.23065330923517668,Low Nakes Ratio,Low Puskesmas Ratio,High Service Pressure,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan (6820 cases),NOT_AVAILABLE,"Kecamatan Pabean Cantian memiliki Healthcare Gap Score sebesar 38.5 dan termasuk kategori Sedang. Faktor kontributor utama adalah: 1. Facility Capacity Gap (0.71), 2. Workforce Shortage Gap (0.47), 3. High Demand Score (0.23). Indikator paling menonjol dalam model adalah Low Puskesmas Ratio, dengan sub-skor 0.71. Temuan ini menunjukkan adanya indikasi kurangnya ketersediaan fasilitas pelayanan kesehatan tingkat pertama (Puskesmas/Pustu) atau kapasitas tempat tidur rawat inap.",COMPLETE,112.7336449959962,-7.219628570094835
Pakal,49.46829337150855,Tinggi,22,0.12790427762607437,0.8692714074358051,0.832056419317515,0.1455947216650936,0.0,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,DISEASE_BURDEN,MULTI_FACTOR,MEDIUM,0.03721498811829016,Low Nurse Ratio,Low Puskesmas Ratio,High Disease Burden,Penyakit pada sistem pencernaan (7971 cases),NOT_AVAILABLE,"Kecamatan Pakal memiliki Healthcare Gap Score sebesar 49.5 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.87), 2. Facility Capacity Gap (0.83), 3. Disease Burden Need (0.15). Indikator paling menonjol dalam model adalah Low Nurse Ratio, dengan sub-skor 0.87. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",COMPLETE,112.61610234499499,-7.229498498445865
Rungkut,63.64514006441413,Sangat Tinggi,8,0.4862806451649574,0.8394551025857299,0.6379237535016832,0.5557296280929925,0.0,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,DISEASE_BURDEN,SINGLE_FACTOR,HIGH,0.20153134908404668,Low Nurse Ratio,Low Bed Capacity,High Disease Burden,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan (20131 cases),NOT_AVAILABLE,"Kecamatan Rungkut memiliki Healthcare Gap Score sebesar 63.6 dan termasuk kategori Sangat Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.84), 2. Facility Capacity Gap (0.64), 3. Disease Burden Need (0.56). Indikator paling menonjol dalam model adalah Low Nurse Ratio, dengan sub-skor 0.84. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",COMPLETE,112.8016640319851,-7.319182445665281
Sambikerep,44.23578796673905,Tinggi,25,0.22727752726274947,0.6771026935285294,0.5172774614987363,0.3379416056512982,0.0,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,DISEASE_BURDEN,NO_DOMINANT_ROOT_CAUSE,MEDIUM,0.15982523202979304,Low Nurse Ratio,Low Bed Capacity,High Disease Burden,Penyakit pada sistem pernafasan (9185 cases),NOT_AVAILABLE,"Kecamatan Sambikerep memiliki Healthcare Gap Score sebesar 44.2 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.68), 2. Facility Capacity Gap (0.52), 3. Disease Burden Need (0.34). Indikator paling menonjol dalam model adalah Low Nurse Ratio, dengan sub-skor 0.68. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",COMPLETE,112.65320768410216,-7.276542921511119
Sawahan,66.91292944299865,Sangat Tinggi,7,0.5550616418122404,0.9458143601900086,0.7333692966892101,0.36096317245734877,0.0,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,HIGH_DEMAND,SINGLE_FACTOR,HIGH,0.2124450635007985,Low Midwife Ratio,Low Bed Capacity,High Population Demand,Penyakit pada sistem pernafasan (25591 cases),NOT_AVAILABLE,"Kecamatan Sawahan memiliki Healthcare Gap Score sebesar 66.9 dan termasuk kategori Sangat Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.95), 2. Facility Capacity Gap (0.73), 3. High Demand Score (0.56). Indikator paling menonjol dalam model adalah Low Midwife Ratio, dengan sub-skor 0.95. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",COMPLETE,112.72157751425753,-7.272819604549965
Semampir,69.209390185286,Sangat Tinggi,5,0.5419391976074723,0.9550942152766315,0.7513325732317738,0.46358681670637,0.0,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,HIGH_DEMAND,SINGLE_FACTOR,HIGH,0.2037616420448577,Low Nakes Ratio,Low Bed Capacity,High Population Demand,Penyakit pada sistem pernafasan (36331 cases),NOT_AVAILABLE,"Kecamatan Semampir memiliki Healthcare Gap Score sebesar 69.2 dan termasuk kategori Sangat Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.96), 2. Facility Capacity Gap (0.75), 3. High Demand Score (0.54). Indikator paling menonjol dalam model adalah Low Nakes Ratio, dengan sub-skor 0.96. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",COMPLETE,112.74844130371002,-7.2139690266937615
Simokerto,52.2651502154146,Tinggi,17,0.38865391111706193,0.5907346538604668,0.7111041986887711,0.4330704646156655,0.0,FACILITY_SHORTAGE,WORKFORCE_SHORTAGE,DISEASE_BURDEN,NO_DOMINANT_ROOT_CAUSE,MEDIUM,0.12036954482830431,Low Nakes Ratio,Low Faskes Ratio,High Service Pressure,Penyakit pada sistem pernafasan (15444 cases),NOT_AVAILABLE,"Kecamatan Simokerto memiliki Healthcare Gap Score sebesar 52.3 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Facility Capacity Gap (0.71), 2. Workforce Shortage Gap (0.59), 3. Disease Burden Need (0.43). Indikator paling menonjol dalam model adalah Low Faskes Ratio, dengan sub-skor 0.71. Temuan ini menunjukkan adanya indikasi kurangnya ketersediaan fasilitas pelayanan kesehatan tingkat pertama (Puskesmas/Pustu) atau kapasitas tempat tidur rawat inap.",COMPLETE,112.75345981897071,-7.239688620471408
Suko Manunggal,59.00097019187951,Tinggi,13,0.3948261301754178,0.8206792058814871,0.7158515805985569,0.4109389249100609,0.0,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,DISEASE_BURDEN,SINGLE_FACTOR,HIGH,0.10482762528293021,Low Midwife Ratio,Low Bed Capacity,High Service Pressure,Penyakit pada sistem pernafasan (14969 cases),NOT_AVAILABLE,"Kecamatan Suko Manunggal memiliki Healthcare Gap Score sebesar 59.0 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.82), 2. Facility Capacity Gap (0.72), 3. Disease Burden Need (0.41). Indikator paling menonjol dalam model adalah Low Midwife Ratio, dengan sub-skor 0.82. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",COMPLETE,112.6997003413252,-7.268616522578217
Sukolilo,48.40413716206836,Tinggi,23,0.4344073595454221,0.49884709624061807,0.5203313758863792,0.49999379853797876,0.0,FACILITY_SHORTAGE,DISEASE_BURDEN,WORKFORCE_SHORTAGE,NO_DOMINANT_ROOT_CAUSE,MEDIUM,0.02033757734840047,Low Nurse Ratio,Low Bed Capacity,High Disease Burden,Penyakit pada sistem pernafasan (17373 cases),NOT_AVAILABLE,"Kecamatan Sukolilo memiliki Healthcare Gap Score sebesar 48.4 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Facility Capacity Gap (0.52), 2. Disease Burden Need (0.50), 3. Workforce Shortage Gap (0.50). Indikator paling menonjol dalam model adalah Low Bed Capacity, dengan sub-skor 0.52. Temuan ini menunjukkan adanya indikasi kurangnya ketersediaan fasilitas pelayanan kesehatan tingkat pertama (Puskesmas/Pustu) atau kapasitas tempat tidur rawat inap.",COMPLETE,112.80565085800092,-7.292679690588746
Tambaksari,53.46319892080861,Tinggi,14,0.3206309445288489,0.9144242951942263,0.8205770864558177,0.0,0.0,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,HIGH_DEMAND,MULTI_FACTOR,MEDIUM,0.09384720873840857,Low Midwife Ratio,Low Puskesmas Ratio,High Population Demand,Penyakit pada sistem pernafasan (14845 cases),NOT_AVAILABLE,"Kecamatan Tambaksari memiliki Healthcare Gap Score sebesar 53.5 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.91), 2. Facility Capacity Gap (0.82), 3. High Demand Score (0.32). Indikator paling menonjol dalam model adalah Low Midwife Ratio, dengan sub-skor 0.91. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",COMPLETE,112.76800228848059,-7.250864629687954
Tandes,70.56631087915024,Sangat Tinggi,3,0.5672533560599609,0.9239895873950563,0.6762347561967095,0.6152163725782765,0.0,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,DISEASE_BURDEN,SINGLE_FACTOR,HIGH,0.24775483119834685,Low Nurse Ratio,Low Bed Capacity,High Service Pressure,Penyakit pada sistem pernafasan (14979 cases),NOT_AVAILABLE,"Kecamatan Tandes memiliki Healthcare Gap Score sebesar 70.6 dan termasuk kategori Sangat Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.92), 2. Facility Capacity Gap (0.68), 3. Disease Burden Need (0.62). Indikator paling menonjol dalam model adalah Low Nurse Ratio, dengan sub-skor 0.92. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",COMPLETE,112.67125895043823,-7.255581001594608
Tegalsari,52.56546494559555,Tinggi,16,0.35767704302887565,0.7916221662310088,0.5897430670250227,0.31458136636492834,0.0,WORKFORCE_SHORTAGE,FACILITY_SHORTAGE,HIGH_DEMAND,NO_DOMINANT_ROOT_CAUSE,MEDIUM,0.20187909920598612,Low Midwife Ratio,Low Bed Capacity,High Service Pressure,Penyakit pada sistem pernafasan (12548 cases),NOT_AVAILABLE,"Kecamatan Tegalsari memiliki Healthcare Gap Score sebesar 52.6 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Workforce Shortage Gap (0.79), 2. Facility Capacity Gap (0.59), 3. High Demand Score (0.36). Indikator paling menonjol dalam model adalah Low Midwife Ratio, dengan sub-skor 0.79. Temuan ini menunjukkan adanya indikasi keterbatasan jumlah tenaga kesehatan medis, terutama perawat, dibandingkan dengan kepadatan penduduk setempat.",COMPLETE,112.73666324202809,-7.2758284306394145
Tenggilis Mejoyo,43.953046025736754,Tinggi,26,0.2202218128184301,0.6143170957596045,0.6763156547106218,0.26952828370916404,0.0,FACILITY_SHORTAGE,WORKFORCE_SHORTAGE,DISEASE_BURDEN,NO_DOMINANT_ROOT_CAUSE,MEDIUM,0.06199855895101736,Low Nurse Ratio,Low Bed Capacity,High Service Pressure,Penyakit pada sistem pernafasan (7490 cases),NOT_AVAILABLE,"Kecamatan Tenggilis Mejoyo memiliki Healthcare Gap Score sebesar 44.0 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Facility Capacity Gap (0.68), 2. Workforce Shortage Gap (0.61), 3. Disease Burden Need (0.27). Indikator paling menonjol dalam model adalah Low Bed Capacity, dengan sub-skor 0.68. Temuan ini menunjukkan adanya indikasi kurangnya ketersediaan fasilitas pelayanan kesehatan tingkat pertama (Puskesmas/Pustu) atau kapasitas tempat tidur rawat inap.",COMPLETE,112.75418443607865,-7.324417600109367
Wiyung,50.860254823063066,Tinggi,20,0.4876610966349888,0.48644639158442865,0.5661582820329901,0.5156932267910367,0.0,FACILITY_SHORTAGE,DISEASE_BURDEN,HIGH_DEMAND,NO_DOMINANT_ROOT_CAUSE,MEDIUM,0.05046505524195344,Low Nakes Ratio,Low Bed Capacity,High Service Pressure,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan (15180 cases),NOT_AVAILABLE,"Kecamatan Wiyung memiliki Healthcare Gap Score sebesar 50.9 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Facility Capacity Gap (0.57), 2. Disease Burden Need (0.52), 3. High Demand Score (0.49). Indikator paling menonjol dalam model adalah Low Bed Capacity, dengan sub-skor 0.57. Temuan ini menunjukkan adanya indikasi kurangnya ketersediaan fasilitas pelayanan kesehatan tingkat pertama (Puskesmas/Pustu) atau kapasitas tempat tidur rawat inap.",COMPLETE,112.68818582821108,-7.312629856359907
Wonocolo,62.31903500571049,Sangat Tinggi,10,0.6703267673588551,0.680698068342088,0.385923525479702,0.703490971254408,0.0,DISEASE_BURDEN,WORKFORCE_SHORTAGE,HIGH_DEMAND,NO_DOMINANT_ROOT_CAUSE,MEDIUM,0.022792902912319946,Low Nurse Ratio,Low Bed Capacity,High Service Pressure,Penyakit pada sistem pernafasan (18158 cases),NOT_AVAILABLE,"Kecamatan Wonocolo memiliki Healthcare Gap Score sebesar 62.3 dan termasuk kategori Sangat Tinggi. Faktor kontributor utama adalah: 1. Disease Burden Need (0.70), 2. Workforce Shortage Gap (0.68), 3. High Demand Score (0.67). Indikator paling menonjol dalam model adalah High caseload of Penyakit pada sistem pernafasan, dengan sub-skor 0.70. Temuan ini menunjukkan adanya indikasi besarnya prevalensi kasus penyakit masyarakat (terutama ISPA) yang memerlukan intervensi preventif dan promotif.",COMPLETE,112.74181057279597,-7.322040376166424
Wonokromo,41.79133082319709,Tinggi,27,0.5599074669253064,0.13391320931204065,0.6573234185733988,0.3915121082304355,0.0,FACILITY_SHORTAGE,HIGH_DEMAND,DISEASE_BURDEN,NO_DOMINANT_ROOT_CAUSE,MEDIUM,0.09741595164809247,Low Nakes Ratio,Low Puskesmas Ratio,High Service Pressure,Penyakit pada sistem pencernaan (19746 cases),NOT_AVAILABLE,"Kecamatan Wonokromo memiliki Healthcare Gap Score sebesar 41.8 dan termasuk kategori Tinggi. Faktor kontributor utama adalah: 1. Facility Capacity Gap (0.66), 2. High Demand Score (0.56), 3. Disease Burden Need (0.39). Indikator paling menonjol dalam model adalah Low Puskesmas Ratio, dengan sub-skor 0.66. Temuan ini menunjukkan adanya indikasi kurangnya ketersediaan fasilitas pelayanan kesehatan tingkat pertama (Puskesmas/Pustu) atau kapasitas tempat tidur rawat inap.",COMPLETE,112.73793587395087,-7.297730577019125
